genre,list_name,year,source_url_official,source_url_unofficial
R&B,BlackExcellence_40_best_R&B_albums_alltime,,https://www.blackexcellence.com/best-rb-albums-of-all-time-2/,
R&B,ThisIsR&B_best_albums_2012_2016,2012,https://thisisrnb.com/2012/12/thisisrnbs-list-top-12-rb-albums-of-2012/,
R&B,ThisIsR&B_best_albums_2012_2016,2013,https://thisisrnb.com/2013/12/list-the-13-best-rb-albums-of-2013/,
R&B,ThisIsR&B_best_albums_2012_2016,2014,https://thisisrnb.com/2015/01/thisisrnb-presents-the-top-20-rb-albums-of-2014/,
R&B,ThisIsR&B_best_albums_2012_2016,2015,https://thisisrnb.com/2015/12/thisisrnb-presents-the-top-20-rb-albums-of-2015/,
R&B,ThisIsR&B_best_albums_2012_2016,2016,https://thisisrnb.com/2016/12/thisisrnb-presents-the-20-best-rb-albums-of-2016/,
R&B,RatedR&B_best_albums_2017_2021,2017,https://ratedrnb.com/2017/12/top-10-rb-albums-of-2017/,
R&B,RatedR&B_best_albums_2017_2021,2018,https://ratedrnb.com/2018/12/best-rnb-albums-of-2018/,
R&B,RatedR&B_best_albums_2017_2021,2019,https://ratedrnb.com/2019/12/best-rnb-albums-of-2019/,
R&B,RatedR&B_best_albums_2017_2021,2020,https://ratedrnb.com/2020/12/the-30-best-rnb-albums-of-2020-staff-picks/,
R&B,RatedR&B_best_albums_2017_2021,2021,https://ratedrnb.com/2021/12/the-30-best-rnb-albums-of-2021-staff-picks/,
Rock,Classic_rock_100_greatest_rock_albums_ever_2001,,,http://pub37.bravenet.com/forum/static/show.php?usernum=3172289350&frmid=10&msgid=603995
Rock,AllMusic_Favorite_rock_albums_annual_2012_2021,2012,https://www.allmusic.com/blog/post/allmusics-favorite-rock-albums-of-2012,
Rock,AllMusic_Favorite_rock_albums_annual_2012_2021,2013,https://www.allmusic.com/blog/post/allmusics-favorite-rock-albums-of-2013,
Rock,AllMusic_Favorite_rock_albums_annual_2012_2021,2014,https://www.allmusic.com/year-in-review/2014/favorite-rock-albums,
Rock,AllMusic_Favorite_rock_albums_annual_2012_2021,2015,https://www.allmusic.com/year-in-review/2015/favorite-rock-albums,
Rock,AllMusic_Favorite_rock_albums_annual_2012_2021,2016,https://www.allmusic.com/year-in-review/2016/favorite-rock,
Rock,AllMusic_Favorite_rock_albums_annual_2012_2021,2017,https://www.allmusic.com/year-in-review/2017/favorite-rock,
Rock,AllMusic_Favorite_rock_albums_annual_2012_2021,2018,https://www.allmusic.com/year-in-review/2018/favorite-rock,
Rock,AllMusic_Favorite_rock_albums_annual_2012_2021,2019,https://www.allmusic.com/year-in-review/2019/favorite-rock,
Rock,AllMusic_Favorite_rock_albums_annual_2012_2021,2020,https://www.allmusic.com/year-in-review/2020/favorite-rock,
Rock,AllMusic_Favorite_rock_albums_annual_2012_2021,2021,https://www.allmusic.com/year-in-review/2021/favorite-rock,
World Music,Rough_Guide_100_Essential_Cds_World_Music,,,https://osmelhoresdiscos.blogspot.com/2010/08/rough-guide-to-world-100-essential-cds.html
World Music,Songlines_2012_2021,2012,https://web.archive.org/web/20170702204441/http://www.songlines.co.uk/world-music-news/2015/08/the-50-greatest-world-music-albums-of-the-last-five-years-3/,
World Music,Songlines_2012_2021,2013,https://web.archive.org/web/20170622160254/http://www.songlines.co.uk/world-music-news/2015/08/the-50-greatest-world-music-albums-of-the-last-five-years-2/,
World Music,Songlines_2012_2021,2014,https://web.archive.org/web/20170623163704/http://www.songlines.co.uk/world-music-news/2015/08/the-50-greatest-world-music-albums-of-the-last-five-years/,
World Music,Songlines_2012_2021,2015,https://web.archive.org/web/20161022030147/http://www.songlines.co.uk/world-music-news/2015/11/songlines-best-albums-of-2015/,
World Music,Songlines_2012_2021,2016,https://web.archive.org/web/20170708055819/http://www.songlines.co.uk/world-music-news/2016/11/songlines-best-albums-of-2016/,
World Music,Songlines_2012_2021,2017,https://web.archive.org/web/20180123041706/http://www.songlines.co.uk/world-music-news/2017/11/songlines-best-albums-of-2017/,
World Music,Songlines_2012_2021,2018,https://www.songlines.co.uk/news/songlines-best-albums-of-2018,
World Music,Songlines_2012_2021,2019,https://www.songlines.co.uk/news/songlines-best-albums-of-2019,
World Music,Songlines_2012_2021,2020,https://www.songlines.co.uk/features/top-10-albums-of-2020,
World Music,Songlines_2012_2021,2021,https://www.songlines.co.uk/news/the-10-best-albums-of-2021,
Western Classical,Gramophone_guide_2008_100_great_recordings,,,https://e1ng2g2l2r.tistory.com/37?category=780122
Western Classical,gramophone_award_nominees_2012_2021,2012,,https://www.classicfm.com/music-news/latest-news/gramophone-awards-nominees-revealed/
Western Classical,gramophone_award_nominees_2012_2021,2013,https://reader.exacteditions.com/issues/36358/spread/37,
Western Classical,gramophone_award_nominees_2012_2021,2014,https://reader.exacteditions.com/issues/39763/spread/19,
Western Classical,gramophone_award_nominees_2012_2021,2015,https://reader.exacteditions.com/issues/44464/spread/19,
Western Classical,gramophone_award_nominees_2012_2021,2016,https://reader.exacteditions.com/issues/53118/spread/21,
Western Classical,gramophone_award_nominees_2012_2021,2017,https://reader.exacteditions.com/issues/59530/spread/21,
Western Classical,gramophone_award_nominees_2012_2021,2018,https://reader.exacteditions.com/issues/64285/spread/15,
Western Classical,gramophone_award_nominees_2012_2021,2019,https://reader.exacteditions.com/issues/82681/spread/17,
Western Classical,gramophone_award_nominees_2012_2021,2020,https://reader.exacteditions.com/issues/89701/spread/19,
Western Classical,gramophone_award_nominees_2012_2021,2021,https://reader.exacteditions.com/issues/96463/spread/19,
